spec,estimate,std_error,p_value,n_obs
full_sample_log1p_OLS,0.22377618493555396,0.07293377788135696,0.0022475498910674574,2637803
granted_only_log1p_OLS,0.2293678710022443,0.07931675500297074,0.003966047177222709,1656342
full_sample_PoissonPML,0.700116364382967,0.18992660299868794,0.00022758550328849658,2637803
has_forward_LPM,0.13195783713354478,0.041772912030289336,0.0016606234536828968,2637803
period_2010_2014_log1p_OLS,0.1838946540181292,0.1101467144385287,0.09552544751505265,1512978
period_2015_2018_log1p_OLS,0.22845342896106866,0.08681719578952612,0.008717253341588904,1124825
granted_only_PoissonPML,0.6352666721309657,0.20022245776013606,0.0015097426026349225,1656342
