citation_type,estimate,std_error,p_value,n_obs
self_cites,-0.13539324791114907,0.04463391473865642,0.002519295171875102,2637803
external_cites,-0.33532632494429837,0.10778645012264648,0.0019501801656525153,2637803
self_cite_share,-0.029478246460555246,0.031830133002243396,0.35475081237062445,2018205
