model,outcome,estimate,std_error,p_value,ape,n_obs
LPM_fullFE,grant,0.2246074689761271,0.06437142604209116,0.0006875076866850183,0.2246074689761271,267958
Probit_reducedFE,grant,0.4338815938189083,0.03067243275880234,1.986636388456931e-45,0.1606906116669081,267958
LPM_fullFE,has_reject_cite,-0.25372784686318023,0.05917308719173508,3.771259598961407e-05,-0.25372784686318023,267958
Probit_reducedFE,has_reject_cite,-0.5392233645058865,0.02666725634710878,6.471788497392762e-91,-0.20297289856203266,267958
