outcome,control_group,variable,estimate,std_error,t_value,p_value,ci_2_5,ci_97_5,n_obs
claim_reduction,all,ai_core,-0.0009990099873795897,0.0005794954437964608,-1.7239307022584238,0.08522951816336777,-0.002137069410475323,0.00013904943571614353,923926
claim_reduction,all,ai_x_post,0.0006006776895607442,0.0001988015633462694,3.021493792352595,0.002621208253257512,0.00021025530589166487,0.0009911000732298236,923926
claim_reduction,all,post2018,,,,,,,923926
claim_reduction,broad_noncore,ai_core,-0.0005554937265862932,0.0003040810816532605,-1.8267947600229701,0.07093845549854105,-0.0011593384902415784,4.8351037068991944e-05,92682
claim_reduction,broad_noncore,ai_x_post,0.001190247348301879,0.00040633973711914944,2.929192593223703,0.0042742721929711625,0.00038333716108986723,0.001997157535513891,92682
claim_reduction,broad_noncore,post2018,,,,,,,92682
claim_reduction,software,ai_core,-0.0005554937265862932,0.0003040810816532605,-1.8267947600229701,0.07093845549854105,-0.0011593384902415784,4.8351037068991944e-05,92682
claim_reduction,software,ai_x_post,0.001190247348301879,0.00040633973711914944,2.929192593223703,0.0042742721929711625,0.00038333716108986723,0.001997157535513891,92682
claim_reduction,software,post2018,,,,,,,92682
grant,all,ai_core,0.28133028755176664,0.03616058966468816,7.7800248878821145,3.086420008457935e-14,0.2103166229410312,0.3523439521625021,1415812
grant,all,ai_x_post,0.016693903891174512,0.004277197283964438,3.9030006761112754,0.00010553736714991047,0.008294166602210742,0.025093641180138283,1415812
grant,all,post2018,,,,,,,1415812
grant,broad_noncore,ai_core,0.2095744800718406,0.06604170254493981,3.1733657976069005,0.002030622273665905,0.07846512382104345,0.34068383632263777,140914
grant,broad_noncore,ai_x_post,0.001129188523376845,0.0036186976539774396,0.31204279311252037,0.755691844861561,-0.006054834625578216,0.008313211672331906,140914
grant,broad_noncore,post2018,,,,,,,140914
grant,software,ai_core,0.2095744800718406,0.06604170254493981,3.1733657976069005,0.002030622273665905,0.07846512382104345,0.34068383632263777,140914
grant,software,ai_x_post,0.001129188523376845,0.0036186976539774396,0.31204279311252037,0.755691844861561,-0.006054834625578216,0.008313211672331906,140914
grant,software,post2018,,,,,,,140914
