outcome,beta_restricted,beta_full,r2_restricted,r2_full,r_max_assumed,delta_to_zero,robust_if_delta_gt_1,n_obs
grant,0.312116727776528,0.3042696284189603,0.01819771787492308,0.02778755148604639,0.03612381693186031,44.60555931899579,YES,2637803
log1p_grant_delay_days,-0.24004077769477272,-0.2306196899942242,0.04046159786113146,0.057099765708016115,0.07422969542042095,23.776353964081537,YES,1656342
log1p_backward_cites,-0.3468118077754026,-0.37844431408757495,0.03227661719880326,0.04606428927982331,0.05988357606377031,-11.936409164852426,YES,2637803
log1p_reject_cites,-0.4314826248068055,-0.46382363745467786,0.029852453611868945,0.043588641696165276,0.05666523420501486,-15.065061243211447,YES,2637803
log1p_forward_cites,0.22099449006198613,0.22377618493555396,0.15082142494826967,0.16271891424050322,0.2115345885126542,-19.60651497900694,YES,2637803
log1p_inventor_count,0.15299553927478673,0.15705262646251864,0.07228048573738366,0.1417383262390589,0.1842598241107766,-63.23297058543944,YES,2637803
log1p_applicant_count,-0.012481382251681813,-0.021196932726163433,0.024421639653212313,0.06492811609105154,0.084406550918367,-5.0576481033716005,YES,2637803
has_reject_cite,-0.22135143699831883,-0.24167477635764315,0.02005344497345396,0.04119883086358622,0.05355848012266209,-20.344439293288104,YES,2637803
