spec,variable,estimate,std_error,p_value,n_obs
quadratic,ai_core_density,1.1364347773897192,0.41002869459244057,0.005589747229401754,94413
quadratic,ai_core_density_sq,-1.2824259152267492,0.35817410664868105,0.00034482159645743415,94413
quadratic,log_total_apps,0.6762554671736938,0.007451111697949034,0.0,94413
linear,ai_core_density,0.337840913533359,0.2505701034564218,0.1775996876427839,94413
linear,log_total_apps,0.6763551993968062,0.007450994660045447,0.0,94413
